date,time,ip,method,path,protocol,status,referrer,user_agent,payload,anomaly_score,is_anomaly
08/Jan/2025,00:15:53,82.245.244.232,GET,/,HTTP/1.1,200,,Mozilla/5.0 (Windows NT 11.0; Win64; x64; rv:127.0) Gecko/20100101 Firefox/127.0,,,False
08/Jan/2025,00:16:29,82.245.244.232,GET,/logowanie,HTTP/1.1,200,https://kingbank.pl/,Mozilla/5.0 (Windows NT 11.0; Win64; x64; rv:127.0) Gecko/20100101 Firefox/127.0,,,False
08/Jan/2025,00:16:40,82.245.244.232,POST,/logowanie,HTTP/1.1,200,https://kingbank.pl/logowanie,Mozilla/5.0 (Windows NT 11.0; Win64; x64; rv:127.0) Gecko/20100101 Firefox/127.0,login=kamzys9873&password=&action=login,,False
08/Jan/2025,00:16:40,82.245.244.232,GET,/dashboard,HTTP/1.1,200,https://kingbank.pl/logowanie,Mozilla/5.0 (Windows NT 11.0; Win64; x64; rv:127.0) Gecko/20100101 Firefox/127.0,,,False
08/Jan/2025,00:17:27,82.198.139.184,GET,/,HTTP/1.1,200,,"Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36",,,False
08/Jan/2025,00:17:39,82.245.244.232,POST,/wylogowanie,HTTP/1.1,302,https://kingbank.pl/dashboard,Mozilla/5.0 (Windows NT 11.0; Win64; x64; rv:127.0) Gecko/20100101 Firefox/127.0,action=logout,,False
08/Jan/2025,00:17:39,82.245.244.232,GET,/,HTTP/1.1,200,,Mozilla/5.0 (Windows NT 11.0; Win64; x64; rv:127.0) Gecko/20100101 Firefox/127.0,,,False
08/Jan/2025,00:17:55,82.198.139.184,GET,/logowanie,HTTP/1.1,200,https://kingbank.pl/,"Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36",,,False
08/Jan/2025,00:18:13,82.198.139.184,POST,/logowanie,HTTP/1.1,400,https://kingbank.pl/logowanie,"Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36",login=annszc3480&password=&action=login,,False
08/Jan/2025,00:18:30,82.198.139.184,GET,/logowanie,HTTP/1.1,200,https://kingbank.pl/,"Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36",,,False
08/Jan/2025,00:18:30,82.198.139.184,GET,/dashboard,HTTP/1.1,200,https://kingbank.pl/logowanie,"Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36",,0.5540081,False
08/Jan/2025,02:03:22,82.187.148.199,GET,/,HTTP/1.1,200,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 12_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",,0.5467042,False
08/Jan/2025,02:03:27,82.187.148.199,GET,/logowanie,HTTP/1.1,200,https://kingbank.pl/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 12_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",,0.6503807,False
08/Jan/2025,02:03:59,82.187.148.199,POST,/logowanie,HTTP/1.1,200,https://kingbank.pl/logowanie,"Mozilla/5.0 (Macintosh; Intel Mac OS X 12_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",login=marpio3894&password=&action=login,0.7322503,False
08/Jan/2025,02:03:59,82.187.148.199,GET,/dashboard,HTTP/1.1,200,https://kingbank.pl/logowanie,"Mozilla/5.0 (Macintosh; Intel Mac OS X 12_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",,0.37802726,False
08/Jan/2025,02:05:30,82.187.148.199,POST,/wylogowanie,HTTP/1.1,302,https://kingbank.pl/dashboard,"Mozilla/5.0 (Macintosh; Intel Mac OS X 12_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",action=logout,2.4225168,True
08/Jan/2025,02:05:30,82.187.148.199,GET,/,HTTP/1.1,200,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 12_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",,0.26975113,False
08/Jan/2025,02:13:21,82.24.103.181,GET,/,HTTP/1.1,200,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:132.0) Gecko/20100101 Firefox/132.0,,0.48942834,False
08/Jan/2025,02:13:46,82.24.103.181,GET,/logowanie,HTTP/1.1,200,https://kingbank.pl/,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:132.0) Gecko/20100101 Firefox/132.0,,0.34531385,False
08/Jan/2025,02:13:54,82.24.103.181,POST,/logowanie,HTTP/1.1,200,https://kingbank.pl/logowanie,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:132.0) Gecko/20100101 Firefox/132.0,login=julwie2801&password=&action=login,0.5743696,False
08/Jan/2025,02:13:54,82.24.103.181,GET,/dashboard,HTTP/1.1,200,https://kingbank.pl/logowanie,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:132.0) Gecko/20100101 Firefox/132.0,,0.2813751,False
08/Jan/2025,02:14:03,82.3.137.241,GET,/,HTTP/1.1,200,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:132.0) Gecko/20100101 Firefox/132.0,,0.6447837,False
08/Jan/2025,02:14:17,82.24.103.181,GET,/transakcja,HTTP/1.1,200,https://kingbank.pl/dashboard,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:132.0) Gecko/20100101 Firefox/132.0,,0.93810904,False
08/Jan/2025,02:14:55,82.24.103.181,POST,/transakcja,HTTP/1.1,200,https://kingbank.pl/transakcja,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:132.0) Gecko/20100101 Firefox/132.0,recipientAccount=97+8817+1010+9595+5548+0858+2750&recipientName=PolGeo+Consulting&street=ul.+Kr%C3%B3tka&houseNumber=88&apartmentNumber=1&postalCode=98559&city=Zielonka&transferTitle=Zakup+materia%C5%82%C3%B3w+biurowych&action=send&savedRecipient=1,1.1588871,False
08/Jan/2025,02:14:55,82.24.103.181,GET,"/transakcja,2f8c46ac241d16e31f9f2f560ba9fac0a5305b00",HTTP/1.1,200,https://kingbank.pl/transakcja,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:132.0) Gecko/20100101 Firefox/132.0,,0.82518613,False
